ID1,ID2,ID3,Joint,TrackingState,X,Y,Z,X2,Y2
55230,3,8862,SpineBase,Tracked,0.03869054,-0.266291,2.738901,263.6262,242.6527
55230,3,8862,SpineMid,Tracked,0.01779249,0.03235937,2.773746,260.7929,202.6758
55230,3,8862,Neck,Tracked,-0.002907192,0.3227842,2.793983,258.0575,164.5265
55230,3,8862,Head,Tracked,-0.006486961,0.4548628,2.792865,257.5857,147.0822
55230,3,8862,ShoulderLeft,Tracked,-0.1721382,0.2001069,2.765802,235.5896,180.3931
55230,3,8862,ElbowLeft,Tracked,-0.2306814,-0.0005219028,2.750311,227.6511,207.0255
55230,3,8862,WristLeft,Tracked,-0.1826744,-0.1279837,2.572977,232.377,225.2155
55230,3,8862,HandLeft,Inferred,-0.1412966,-0.1681456,2.486943,237.5826,231.776
55230,3,8862,ShoulderRight,Tracked,0.1673701,0.2055777,2.738112,280.8819,179.3904
55230,3,8862,ElbowRight,Tracked,0.2275707,-0.04084027,2.669055,289.7388,212.5728
55230,3,8862,WristRight,Tracked,0.2909956,-0.2768822,2.580357,299.8911,246.3968
55230,3,8862,HandRight,Tracked,0.2914277,-0.2958342,2.57937,299.9735,249.1177
55230,3,8862,HipLeft,Tracked,-0.05069517,-0.269083,2.698981,251.5429,243.5623
55230,3,8862,KneeLeft,Tracked,-0.1287315,-0.2752502,2.407485,238.7976,248.9538
55230,3,8862,AnkleLeft,Tracked,-0.1270823,-0.6159339,2.504265,239.742,297.5781
55230,3,8862,FootLeft,Tracked,-0.1316109,-0.6517817,2.390982,238.1442,307.4655
55230,3,8862,HipRight,Tracked,0.126724,-0.2562951,2.701521,275.6644,241.7924
55230,3,8862,KneeRight,Tracked,0.1695949,-0.2805515,2.403275,284.3672,249.8463
55230,3,8862,AnkleRight,Tracked,0.146342,-0.6237815,2.489698,280.1004,299.2846
55230,3,8862,FootRight,Tracked,0.1868221,-0.7039908,2.466457,286.3791,312.2386
55230,3,8862,SpineShoulder,Tracked,0.002108952,0.2512389,2.791479,258.7169,173.9152
55230,3,8862,HandTipLeft,Tracked,-0.1289792,-0.2112029,2.404422,238.743,239.2089
55230,3,8862,ThumbLeft,Tracked,-0.19781,-0.1901115,2.449526,228.7834,235.4579
55230,3,8862,HandTipRight,Tracked,0.2989206,-0.3373269,2.574202,301.1411,255.1437
55230,3,8862,ThumbRight,Tracked,0.2616203,-0.2910595,2.56025,295.9969,248.7393
