SubjectID,DateID,GestureLabel,RepetitionNumber,CorrectLabel,Position,timestamp1,timestamp2,timestamp3,jointName,trackingStatus,x,y,z,x_proj,y_proj
306,18,7,3,1,sit,37933,4,122696,SpineBase,Tracked,-0.2345214,-0.1206518,3.162993,231.2227,220.9578
306,18,7,3,1,sit,37933,4,122696,SpineMid,Tracked,-0.2164772,0.1203198,3.147441,233.1942,192.9242
306,18,7,3,1,sit,37933,4,122696,Neck,Tracked,-0.1983106,0.3568887,3.120226,235.0909,164.9363
306,18,7,3,1,sit,37933,4,122696,Head,Tracked,-0.1936232,0.484691,3.107749,235.5327,149.6135
306,18,7,3,1,sit,37933,4,122696,ShoulderLeft,Tracked,-0.3401107,0.2544108,3.087274,217.9626,176.6781
306,18,7,3,1,sit,37933,4,122696,ElbowLeft,Tracked,-0.3764604,0.03878981,3.077377,213.5055,202.3259
306,18,7,3,1,sit,37933,4,122696,WristLeft,Inferred,-0.2832374,-0.1046999,2.962204,223.3312,219.9338
306,18,7,3,1,sit,37933,4,122696,HandLeft,Inferred,-0.2436375,-0.1343138,2.936095,227.9747,223.7507
306,18,7,3,1,sit,37933,4,122696,ShoulderRight,Tracked,-0.02712686,0.2687601,3.13638,255.2646,175.4995
306,18,7,3,1,sit,37933,4,122696,ElbowRight,Tracked,0.02128628,0.0512774,3.140503,260.9263,200.9656
306,18,7,3,1,sit,37933,4,122696,WristRight,Tracked,-0.05450436,-0.0988671,3.00506,251.7848,219.0271
306,18,7,3,1,sit,37933,4,122696,HandRight,Inferred,-0.05601147,-0.1405755,2.975793,251.5329,224.29
306,18,7,3,1,sit,37933,4,122696,HipLeft,Tracked,-0.2990854,-0.113048,3.122217,223.2665,220.2505
306,18,7,3,1,sit,37933,4,122696,KneeLeft,Tracked,-0.2558314,-0.2597851,2.812896,225.0283,240.8834
306,18,7,3,1,sit,37933,4,122696,AnkleLeft,Tracked,-0.2506772,-0.6113214,2.818072,225.6789,286.8487
306,18,7,3,1,sit,37933,4,122696,FootLeft,Tracked,-0.2474643,-0.6642709,2.736077,225.1081,296.428
306,18,7,3,1,sit,37933,4,122696,HipRight,Tracked,-0.1650033,-0.1255097,3.134568,239.1209,221.6506
306,18,7,3,1,sit,37933,4,122696,KneeRight,Tracked,0.004114666,-0.2517262,2.860054,258.9677,239.2658
306,18,7,3,1,sit,37933,4,122696,AnkleRight,Tracked,-0.02292188,-0.5953618,2.89481,255.5256,282.6435
306,18,7,3,1,sit,37933,4,122696,FootRight,Tracked,-0.01709038,-0.652661,2.827542,256.2138,291.9576
306,18,7,3,1,sit,37933,4,122696,SpineShoulder,Tracked,-0.2030147,0.2984996,3.129101,234.6118,171.921
306,18,7,3,1,sit,37933,4,122696,HandTipLeft,Tracked,-0.2227208,-0.1588643,2.910641,230.3469,226.994
306,18,7,3,1,sit,37933,4,122696,ThumbLeft,Tracked,-0.2761674,-0.1503261,2.909412,223.5828,225.9294
306,18,7,3,1,sit,37933,4,122696,HandTipRight,Tracked,-0.06306696,-0.1948723,2.913915,250.4962,231.5004
306,18,7,3,1,sit,37933,4,122696,ThumbRight,Tracked,-0.08952412,-0.1229342,2.951676,247.3102,222.2386
