SubjectID,DateID,GestureLabel,RepetitionNumber,CorrectLabel,Position,timestamp1,timestamp2,timestamp3,jointName,trackingStatus,x,y,z,x_proj,y_proj
106,18,0,7,1,chair,55076,3,3433,SpineBase,Tracked,0.03760897,-0.2648793,2.738445,263.482,242.469
106,18,0,7,1,chair,55076,3,3433,SpineMid,Tracked,0.02062543,0.0332719,2.774008,261.1674,202.5555
106,18,0,7,1,chair,55076,3,3433,Neck,Tracked,0.003601579,0.3229621,2.795294,258.9128,164.523
106,18,0,7,1,chair,55076,3,3433,Head,Tracked,0.006688436,0.4567456,2.796731,259.3188,146.9169
106,18,0,7,1,chair,55076,3,3433,ShoulderLeft,Tracked,-0.1655684,0.2048705,2.761524,236.4276,179.7187
106,18,0,7,1,chair,55076,3,3433,ElbowLeft,Tracked,-0.2300094,0.002870478,2.743479,227.6643,206.5717
106,18,0,7,1,chair,55076,3,3433,WristLeft,Tracked,-0.1795441,-0.1205451,2.576223,232.8569,224.1319
106,18,0,7,1,chair,55076,3,3433,HandLeft,Tracked,-0.1359641,-0.1549079,2.500875,238.4832,229.6927
106,18,0,7,1,chair,55076,3,3433,ShoulderRight,Tracked,0.176595,0.2054523,2.752791,281.9932,179.5534
106,18,0,7,1,chair,55076,3,3433,ElbowRight,Tracked,0.2297949,-0.03610687,2.657724,290.1799,211.943
106,18,0,7,1,chair,55076,3,3433,WristRight,Tracked,0.2778868,-0.221649,2.580791,298.0017,238.5115
106,18,0,7,1,chair,55076,3,3433,HandRight,Tracked,0.2815161,-0.2726373,2.579548,298.5499,245.8011
106,18,0,7,1,chair,55076,3,3433,HipLeft,Tracked,-0.05159275,-0.2652006,2.694659,251.4097,243.0914
106,18,0,7,1,chair,55076,3,3433,KneeLeft,Tracked,-0.1306458,-0.2747152,2.403611,238.4733,248.9399
106,18,0,7,1,chair,55076,3,3433,AnkleLeft,Tracked,-0.1251869,-0.6147289,2.502317,240.0067,297.4702
106,18,0,7,1,chair,55076,3,3433,FootLeft,Tracked,-0.1246818,-0.6506664,2.388824,239.1957,307.3822
106,18,0,7,1,chair,55076,3,3433,HipRight,Tracked,0.1258586,-0.2574492,2.705537,275.5214,241.8974
106,18,0,7,1,chair,55076,3,3433,KneeRight,Tracked,0.1706443,-0.2801949,2.407467,284.4821,249.7171
106,18,0,7,1,chair,55076,3,3433,AnkleRight,Tracked,0.1449713,-0.6234497,2.493259,279.8665,299.1022
106,18,0,7,1,chair,55076,3,3433,FootRight,Tracked,0.1881154,-0.7048286,2.465417,286.5848,312.4099
106,18,0,7,1,chair,55076,3,3433,SpineShoulder,Tracked,0.00785261,0.2516248,2.792496,259.4719,173.8764
106,18,0,7,1,chair,55076,3,3433,HandTipLeft,Tracked,-0.1101315,-0.1954913,2.433068,241.8221,236.4532
106,18,0,7,1,chair,55076,3,3433,ThumbLeft,Tracked,-0.1845365,-0.1599953,2.469125,230.999,230.7471
106,18,0,7,1,chair,55076,3,3433,HandTipRight,Tracked,0.2994138,-0.3289406,2.564295,301.3751,254.1254
106,18,0,7,1,chair,55076,3,3433,ThumbRight,Tracked,0.2921616,-0.2434125,2.574857,300.1387,241.6971
